"Name","Year","College_Completion_Rate"
"Alaska","1970_Urban",0.155220184386034
"Arizona","1970_Urban",0.129671431267101
"Arkansas","1970_Urban",0.0824836731336488
"California","1970_Urban",0.135546019992574
"Colorado","1970_Urban",0.161532136232383
"Connecticut","1970_Urban",0.137506759483391
"Delaware","1970_Urban",0.130934776179126
"District of Columbia","1970_Urban",0.177834350941139
"Florida","1970_Urban",0.103726459399569
"Georgia","1970_Urban",0.105842032218319
"Hawaii","1970_Urban",0.149637856975971
"Idaho","1970_Urban",0.111466914494386
"Illinois","1970_Urban",0.11039396892401
"Indiana","1970_Urban",0.0921691959859417
"Iowa","1970_Urban",0.116557420160516
"Kansas","1970_Urban",0.136972864976776
"Kentucky","1970_Urban",0.089019845832801
"Louisiana","1970_Urban",0.0974150013407383
"Maine","1970_Urban",0.0929039748668215
"Maryland","1970_Urban",0.141710257782005
"Massachusetts","1970_Urban",0.125756777272266
"Michigan","1970_Urban",0.0990292445135207
"Minnesota","1970_Urban",0.130587228343387
"Mississippi","1970_Urban",0.101692155364182
"Missouri","1970_Urban",0.101455963535925
"Montana","1970_Urban",0.140851213742891
"Nebraska","1970_Urban",0.126505736438005
"Nevada","1970_Urban",0.112884506383323
"New Hampshire","1970_Urban",0.110432532153568
"New Jersey","1970_Urban",0.118356576901972
"New Mexico","1970_Urban",0.149797938518821
"New York","1970_Urban",0.121535844367199
"North Carolina","1970_Urban",0.0958066936911856
"North Dakota","1970_Urban",0.130288992292851
"Ohio","1970_Urban",0.100501920895414
"Oklahoma","1970_Urban",0.114543287518385
"Oregon","1970_Urban",0.128228456406257
"Pennsylvania","1970_Urban",0.091963380672058
"Rhode Island","1970_Urban",0.0938765307719021
"South Carolina","1970_Urban",0.0957099836923354
"South Dakota","1970_Urban",0.0951612757048732
"Tennessee","1970_Urban",0.0907872327204339
"Texas","1970_Urban",0.118917736592323
"Utah","1970_Urban",0.146392207400183
"Vermont","1970_Urban",0.143708011943269
"Virginia","1970_Urban",0.141807134355738
"Washington","1970_Urban",0.130693227476469
"West Virginia","1970_Urban",0.0771918082307237
"Wisconsin","1970_Urban",0.108870290668387
"Wyoming","1970_Urban",0.131783083973822
"Puerto Rico","1970_Urban",NA
"United States","1980_Urban",0.174883604289651
"Alabama","1980_Urban",0.137494692144374
"Alaska","1980_Urban",0.225264874873257
"Arizona","1980_Urban",0.179187124838081
"Arkansas","1980_Urban",0.132571693470325
"California","1980_Urban",0.197328415862657
"Colorado","1980_Urban",0.240337210680289
"Connecticut","1980_Urban",0.207711391702511
"Delaware","1980_Urban",0.174683816083817
"District of Columbia","1980_Urban",0.274619782116277
"Florida","1980_Urban",0.148051345778522
"Georgia","1980_Urban",0.164935953464669
"Hawaii","1980_Urban",0.211660970288912
"Idaho","1980_Urban",0.172487051240823
"Illinois","1980_Urban",0.173584724910554
"Indiana","1980_Urban",0.138556931397237
"Iowa","1980_Urban",0.17455294696774
"Kansas","1980_Urban",0.204538865794397
"Kentucky","1980_Urban",0.138369097794037
"Louisiana","1980_Urban",0.149704044189152
"Maine","1980_Urban",0.153930694919166
"Maryland","1980_Urban",0.206441568173696
"Massachusetts","1980_Urban",0.20033759298894
"Michigan","1980_Urban",0.149687031952788
"Minnesota","1980_Urban",0.201201422788445
"Mississippi","1980_Urban",0.152308761953592
"Missouri","1980_Urban",0.159301978971034
"Montana","1980_Urban",0.199976838895215
"Nebraska","1980_Urban",0.193395968064713
"Nevada","1980_Urban",0.148155228908432
"New Hampshire","1980_Urban",0.185869945737791
"New Jersey","1980_Urban",0.1833913637507
"New Mexico","1980_Urban",0.203726031291083
"New York","1980_Urban",0.184248160793184
"North Carolina","1980_Urban",0.1492153245421
"North Dakota","1980_Urban",0.208453228925893
"Ohio","1980_Urban",0.148196137442378
"Oklahoma","1980_Urban",0.170607663696371
"Oregon","1980_Urban",0.193708388654582
"Pennsylvania","1980_Urban",0.142744811451702
"Rhode Island","1980_Urban",0.154313916032007
"South Carolina","1980_Urban",0.143380606042939
"South Dakota","1980_Urban",0.158374720455404
"Tennessee","1980_Urban",0.144002542826486
"Texas","1980_Urban",0.183753934235739
"Utah","1980_Urban",0.207000888116739
"Vermont","1980_Urban",0.221337007308015
"Virginia","1980_Urban",0.217116084689006
"Washington","1980_Urban",0.195114551551793
"West Virginia","1980_Urban",0.118775801818122
"Wisconsin","1980_Urban",0.163976453008274
"Wyoming","1980_Urban",0.187194012252326
"Puerto Rico","1980_Urban",NA
"United States","1990_Urban",0.219667439884726
"Alabama","1990_Urban",0.178449687307083
"Alaska","1990_Urban",0.251295704314601
"Arizona","1990_Urban",0.209833788597034
"Arkansas","1990_Urban",0.163141004162292
"California","1990_Urban",0.235598582324017
"Colorado","1990_Urban",0.281969714905297
"Connecticut","1990_Urban",0.273049936863316
"Delaware","1990_Urban",0.214054175155601
"District of Columbia","1990_Urban",0.333108466481396
"Florida","1990_Urban",0.185611711841944
"Georgia","1990_Urban",0.217832661388852
"Hawaii","1990_Urban",0.238140262408367
"Idaho","1990_Urban",0.193827167428745
"Illinois","1990_Urban",0.226414971345623
"Indiana","1990_Urban",0.174380073867123
"Iowa","1990_Urban",0.211323104984235
"Kansas","1990_Urban",0.254083898736638
"Kentucky","1990_Urban",0.173612167122474
"Louisiana","1990_Urban",0.173925592237329
"Maine","1990_Urban",0.20966944459981
"Maryland","1990_Urban",0.268166141880019
"Massachusetts","1990_Urban",0.27251497078094
"Michigan","1990_Urban",0.184563721476611
"Minnesota","1990_Urban",0.250542575904236
"Mississippi","1990_Urban",0.183556202065503
"Missouri","1990_Urban",0.205492405057534
"Montana","1990_Urban",0.22243875909266
"Nebraska","1990_Urban",0.233693578919335
"Nevada","1990_Urban",0.156346241577382
"New Hampshire","1990_Urban",0.255420352217484
"New Jersey","1990_Urban",0.248540280703561
"New Mexico","1990_Urban",0.240034441699007
"New York","1990_Urban",0.238580604227865
"North Carolina","1990_Urban",0.196010935828336
"North Dakota","1990_Urban",0.24468132811449
