person,county_num,case_year,dob_year,race,sex,court_action,amountpaid,amountdue,probation,imposed,total,suspended,atty
1929,58,2011,1982,W,M,guilty plea,0,52071,0,36,240,204,R-RETAINED
1930,24,2011,1991,W,M,guilty plea,20,2720,0,6,108,108,A-APPOINTED
1931,59,2005,1963,B,M,guilty plea,828,828,0,0,60,60,A-APPOINTED
1932,52,2006,1975,B,M,guilty plea,0,1346,0,120,120,0,A-APPOINTED
1933,3,2008,1978,B,M,guilty plea,610,3168,0,48,48,0,A-APPOINTED
1934,71,2011,1982,W,M,guilty plea,0,50,0,36,36,36,A-APPOINTED
1935,55,2010,1984,B,M,guilty plea,0,2808,0,0,32,32,A-APPOINTED
1936,63,2010,1979,W,M,guilty plea,0,445.9,0,84,84,84,P-PUBLIC
1937,2,2008,1989,W,M,guilty plea,0,484.9,0,0,36,36,R-RETAINED
1938,55,2005,1963,B,M,guilty plea,0,5872,0,18,180,156,A-APPOINTED
1939,68,2008,1986,B,M,guilty plea,300,1674,0,120,120,0,R-RETAINED
1940,59,2007,1970,W,M,guilty plea,1525,25889,0,13,156,156,R-RETAINED
1941,3,2009,1980,B,M,guilty plea,75,708.1,0,36,36,36,A-APPOINTED
1942,3,2008,1981,B,M,guilty plea,60,3852,0,36,120,84,A-APPOINTED
1943,47,2011,1979,W,M,guilty plea,0,4735,0,72,72,0,A-APPOINTED
1944,32,2008,1968,W,M,guilty plea,454,454,0,12,48,48,A-APPOINTED
1945,29,2011,1975,W,M,guilty plea,0,1840,0,123,123,0,NA
1946,25,2007,1975,W,M,guilty plea,95,1690,0,180,180,0,R-RETAINED
1947,3,2006,1986,B,M,guilty plea,671,2372,0,36,240,204,A-APPOINTED
1948,55,2007,1979,B,M,convicted,280,3403,0,24,60,36,A-APPOINTED
1949,68,2009,1961,B,M,guilty plea,482.5,591.7,0,36,240,204,A-APPOINTED
1950,43,2007,1985,B,M,guilty plea,842,842,0,0,24,24,R-RETAINED
1951,2,2008,1982,B,M,guilty plea,353,353,0,18,96,96,A-APPOINTED
1952,38,2009,1986,B,M,guilty plea,283,5992,0,32,32,0,C-CONTRACT
1953,8,2011,1971,W,M,guilty plea,450,10661,60,18,192,174,A-APPOINTED
1954,47,2010,1960,W,F,guilty plea,3788,3788,0,24,120,96,R-RETAINED
1955,5,2011,1988,B,M,convicted,0,1672,0,120,120,0,NA
1956,71,2011,1986,W,F,guilty plea,935,3031,0,0,24,24,A-APPOINTED
1957,35,2010,1978,B,M,guilty plea,1627,3718,0,24,144,120,R-RETAINED
1958,1,2008,1982,W,M,guilty plea,0,0,0,0,0,0,R-RETAINED
1959,11,2010,1980,B,M,guilty plea,729,5471,0,4,65,65,A-APPOINTED
1960,52,2010,1991,B,M,guilty plea,0,4913,0,240,240,0,A-APPOINTED
1961,47,2009,1982,W,M,guilty plea,2095,3063,0,0,60,60,R-RETAINED
1962,63,2011,1991,B,M,guilty plea,0,3968,0,240,240,0,A-APPOINTED
1963,2,2007,1974,B,M,guilty plea,0,51993,0,60,60,0,R-RETAINED
1964,31,2009,1990,B,M,guilty plea,0,5921,0,240,240,180,NA
1965,61,2007,1981,B,F,guilty plea,1303,1303,0,0,48,48,A-APPOINTED
1966,38,2005,1974,B,F,guilty plea,0,3512,0,60,60,0,C-CONTRACT
1967,52,2006,1984,W,F,guilty plea,1955,2403,0,0,120,120,R-RETAINED
1968,1,2011,1976,B,M,guilty plea,0,669.9,0,0,36,36,A-APPOINTED
1969,25,2008,1979,W,M,guilty plea,0,4382,0,30,30,0,A-APPOINTED
1970,68,2011,1987,B,M,guilty plea,344.28,345,0,48,240,192,A-APPOINTED
1971,13,2009,1973,W,F,guilty plea,568.5,568.5,60,0,60,60,R-RETAINED
1972,2,2006,1983,W,M,guilty plea,122,2003,0,12,120,108,A-APPOINTED
1973,44,2006,1963,W,M,guilty plea,0,524,0,120,120,120,A-APPOINTED
1974,2,2008,1978,W,M,guilty plea,1126,2106,0,2,48,48,A-APPOINTED
1975,38,2006,1985,B,M,guilty plea,0,4159,0,36,36,0,C-CONTRACT
1976,11,2010,1991,B,M,guilty plea,0,1940,0,60,60,48,A-APPOINTED
1977,52,2008,1986,W,M,guilty plea,120,2538,0,24,24,0,A-APPOINTED
1978,61,2005,1975,B,M,guilty plea,0,2189,0,6,42,42,A-APPOINTED
1979,1,2008,1986,W,M,guilty plea,654,654,0,12,12,0,A-APPOINTED
1980,2,2010,1991,B,M,guilty plea,0,6574,0,240,240,0,R-RETAINED
1981,47,2009,1968,W,M,guilty plea,2102,7541,0,0,60,60,A-APPOINTED
1982,68,2010,1980,B,M,guilty plea,309,2922,0,0,24,24,A-APPOINTED
1983,50,2007,1982,W,M,guilty plea,143,553.7,0,12,48,48,R-RETAINED
1984,64,2007,1975,W,M,guilty plea,0,2075,0,36,36,0,A-APPOINTED
1985,21,2006,1965,W,F,guilty plea,0,829,0,120,120,84,A-APPOINTED
1986,1,2005,1981,B,F,guilty plea,596,710.4,0,0,12,12,A-APPOINTED
1987,52,2007,1958,W,M,guilty plea,800,3391,0,36,36,36,A-APPOINTED
1988,75,2009,1986,W,M,guilty plea,115,1019,0,6,24,24,A-APPOINTED
1989,47,2011,1980,W,F,guilty plea,653.31,5313,0,180,180,0,A-APPOINTED
1990,12,2006,1985,B,M,guilty plea,125,3307,0,13,13,0,A-APPOINTED
1991,44,2006,1980,B,M,guilty plea,1955,1955,0,0,60,60,A-APPOINTED
1992,38,2006,1942,B,M,guilty plea,4269,4269,0,24,24,0,C-CONTRACT
1993,1,2007,1971,B,M,guilty plea,0,3325,0,0,97,97,A-APPOINTED
1994,2,2006,1940,B,M,guilty plea,363,363,0,24,180,156,R-RETAINED
1995,1,2007,1980,B,M,guilty plea,0,642.2,0,120,120,120,A-APPOINTED
1996,38,2011,1973,B,M,guilty plea,0,4862,0,72,72,0,C-CONTRACT
1997,47,2009,1970,W,M,guilty plea,0,2830,0,12,48,36,A-APPOINTED
1998,20,2005,1963,W,M,guilty plea,2250,2250,0,0,60,60,A-APPOINTED
1999,20,2006,1953,B,M,guilty plea,760,4133,0,0,180,180,A-APPOINTED
2000,65,2009,1981,I,M,guilty plea,330,330,0,0,60,60,R-RETAINED
2001,47,2009,1967,B,M,guilty plea,190,2806,0,180,180,156,A-APPOINTED
2002,25,2011,1987,W,M,guilty plea,443,2297,0,40,40,40,A-APPOINTED
2003,2,2006,1951,B,M,guilty plea,0,685,0,30,204,204,A-APPOINTED
2004,63,2009,1988,B,M,guilty plea,0,432.9,0,13,13,0,P-PUBLIC
2005,3,2007,1970,W,M,guilty plea,1809,1829,0,240,240,180,NA
2006,47,2010,1987,B,M,guilty plea,0,5463,60,120,120,96,A-APPOINTED
2007,41,2009,1963,W,F,guilty plea,477,5513,0,0,24,24,A-APPOINTED
2008,39,2006,1973,W,M,convicted,1047,15912,60,240,240,228,A-APPOINTED
2009,26,2009,1977,W,M,guilty plea,615,3634,0,0,24,24,A-APPOINTED
2010,63,2007,1967,W,F,guilty plea,0,432.9,0,24,24,24,R-RETAINED
2011,14,2007,1968,W,M,guilty plea,383,383,24,0,60,60,R-RETAINED
2012,75,2007,1979,W,M,guilty plea,2050,2144,0,30,30,30,NA
2013,23,2010,1976,W,M,guilty plea,75,5095,0,18,156,156,A-APPOINTED
2014,31,2008,1965,B,M,guilty plea,1249,1249,0,18,96,96,A-APPOINTED
2015,20,2006,1963,W,M,guilty plea,0,1024,0,84,84,0,NA
2016,5,2011,1974,W,F,guilty plea,968.5,968.5,0,0,144,144,NA
2017,37,2011,1987,W,M,guilty plea,2719,2719,0,12,60,48,A-APPOINTED
2018,28,2008,1988,W,M,guilty plea,0,0,0,0,0,0,A-APPOINTED
2019,31,2005,1962,W,F,guilty plea,0,2292,0,0,60,60,A-APPOINTED
